Account ID,Date and Time Log
[admin, 11/17/2018 11:08:26 AM]
[user, 11/17/2018 11:09:50 AM]
[user12, 11/17/2018 11:09:59 AM]
[admin, 11/17/2018 11:10:05 AM]
[admin, 11/17/2018 11:11:47 AM]
[admin, 11/17/2018 11:12:57 AM]
[admin, 11/17/2018 11:13:35 AM]
[admin, 11/17/2018 11:15:32 AM]
[admin, 11/17/2018 11:29:15 AM]
[admin, 11/17/2018 11:30:35 AM]
[admin, 11/17/2018 11:31:14 AM]
[admin, 11/17/2018 11:33:11 AM]
[admin, 11/17/2018 11:34:38 AM]
[admin, 11/17/2018 11:35:34 AM]
[admin, 11/17/2018 11:37:56 AM]
[admin, 11/17/2018 11:43:21 AM]
[admin, 11/17/2018 11:47:33 AM]
[admin, 11/17/2018 11:48:23 AM]
[admin, Nov 17, 2018 08:47:13 AM]
[user, Nov 17, 2018 08:48:11 AM]
[admin, Nov 17, 2018 08:48:17 AM]
[admin, Nov 17, 2018 08:51:29 AM]
[admin, Nov 17, 2018 09:39:17 AM]
[admin, Nov 17, 2018 09:41:09 AM]
[admin, Nov 17, 2018 09:45:01 AM]
[admin, Nov 17, 2018 09:48:14 AM]
[admin, Nov 17, 2018 09:49:50 AM]
[admin, Nov 17, 2018 09:51:11 AM]
[admin, Nov 17, 2018 09:51:43 AM]
[user, Nov 17, 2018 09:55:05 AM]
[user, Nov 17, 2018 09:57:24 AM]
[admin, Nov 17, 2018 10:05:40 AM]
[admin, Nov 17, 2018 10:37:16 AM]
[admin, Nov 17, 2018 10:40:50 AM]
[admin, Nov 17, 2018 10:55:53 AM]
